Extension,JobName,ClientCode,Subjob,AreaCode,AreaName,CenterCode,CenterName
F29525183,Buffalo,28,sub28,7,譛ｬ遉ｾ,18,OSC譚ｾ螻ｱ
F29525010,Buffalo,28,sub28,7,譛ｬ遉ｾ,18,OSC譚ｾ螻ｱ
F29525059,Buffalo,28,sub28,7,譛ｬ遉ｾ,18,OSC譚ｾ螻ｱ
F29525088,Buffalo,28,sub28,7,譛ｬ遉ｾ,18,OSC譚ｾ螻ｱ
F29525094,Buffalo,28,sub28,7,譛ｬ遉ｾ,18,OSC譚ｾ螻ｱ
F29525130,Buffalo,28,sub28,7,譛ｬ遉ｾ,18,OSC譚ｾ螻ｱ
F29525134,Buffalo,28,sub28,7,譛ｬ遉ｾ,18,OSC譚ｾ螻ｱ
F29525152,Buffalo,28,sub28,7,譛ｬ遉ｾ,18,OSC譚ｾ螻ｱ
F29525155,Buffalo,28,sub28,7,譛ｬ遉ｾ,18,OSC譚ｾ螻ｱ
F29525173,Buffalo,28,sub28,7,譛ｬ遉ｾ,18,OSC譚ｾ螻ｱ
F29525177,Buffalo,28,sub28,7,譛ｬ遉ｾ,18,OSC譚ｾ螻ｱ
F29525182,Buffalo,28,sub28,7,譛ｬ遉ｾ,18,OSC譚ｾ螻ｱ
F29525185,Buffalo,28,sub28,7,譛ｬ遉ｾ,18,OSC譚ｾ螻ｱ
F29525174,Buffalo,28,sub28,7,譛ｬ遉ｾ,18,OSC譚ｾ螻ｱ
F29525175,Buffalo,28,sub28,7,譛ｬ遉ｾ,18,OSC譚ｾ螻ｱ
F29525016,Buffalo,28,sub28,7,譛ｬ遉ｾ,18,OSC譚ｾ螻ｱ
F29525026,Buffalo,28,sub28,7,譛ｬ遉ｾ,18,OSC譚ｾ螻ｱ
F29525027,Buffalo,28,sub28,7,譛ｬ遉ｾ,18,OSC譚ｾ螻ｱ
F29525097,Buffalo,28,sub28,7,譛ｬ遉ｾ,18,OSC譚ｾ螻ｱ
F29525116,Buffalo,28,sub28,7,譛ｬ遉ｾ,18,OSC譚ｾ螻ｱ
F29525143,Buffalo,28,sub28,7,譛ｬ遉ｾ,18,OSC譚ｾ螻ｱ
F29525151,Buffalo,28,sub28,7,譛ｬ遉ｾ,18,OSC譚ｾ螻ｱ
F29525170,Buffalo,28,sub28,7,譛ｬ遉ｾ,18,OSC譚ｾ螻ｱ
F29525202,Buffalo,28,sub28,7,譛ｬ遉ｾ,18,OSC譚ｾ螻ｱ
F29525075,Buffalo,28,sub28,7,譛ｬ遉ｾ,18,OSC譚ｾ螻ｱ
F29525018,Buffalo,28,sub28,7,譛ｬ遉ｾ,18,OSC譚ｾ螻ｱ
F29525048,Buffalo,28,sub28,7,譛ｬ遉ｾ,18,OSC譚ｾ螻ｱ
