Extension,JobName,ClientCode,Subjob,AreaCode,AreaName,CenterCode,CenterName
611008,accs,1111111111111111,1111111111111111,1111111111111111,11111111111111111111111111111111,1111111111111111,11111111111111111111111111111111
611009,accs,2222222222222222,2222222222222222,2222222222222222,22222222222222222222222222222222,2222222222222222,22222222222222222222222222222222
611010,accs,3333333333333333,3333333333333333,3333333333333333,33333333333333333333333333333333,3333333333333333,33333333333333333333333333333333
611011,accs,4444444444444444,4444444444444444,4444444444444444,44444444444444444444444444444444,4444444444444444,44444444444444444444444444444444
611012,accs,5555555555555555,5555555555555555,5555555555555555,55555555555555555555555555555555,5555555555555555,55555555555555555555555555555555
611013,accs,6666666666666666,6666666666666666,6666666666666666,66666666666666666666666666666666,6666666666666666,66666666666666666666666666666666
611014,accs,7777777777777777,7777777777777777,7777777777777777,77777777777777777777777777777777,7777777777777777,77777777777777777777777777777777
611016,accs,8888888888888888,8888888888888888,8888888888888888,88888888888888888888888888888888,8888888888888888,88888888888888888888888888888888
611017,accs,9999999999999999,9999999999999999,9999999999999999,99999999999999999999999999999999,9999999999999999,99999999999999999999999999999999
611018,accs,0000000000000000,0000000000000000,0000000000000000,00000000000000000000000000000000,0000000000000000,00000000000000000000000000000000
