Extension,JobName,ClientCode,Subjob,AreaCode,AreaName,CenterCode,CenterName
611001,"Nippon Insatsu",30,sub30,1,関西,4,光SC(大阪第2)
611004,"Nippon Insatsu",30,sub30,1,関西,4,光SC(大阪第2)
611008,"Nippon Insatsu",30,sub30,1,関西,4,光SC(大阪第2)
611015,"Nippon Insatsu",30,sub30,1,関西,4,光SC(大阪第2)
611010,"Nippon Insatsu",30,sub30,1,関西,4,光SC(大阪第2)
611009,"Nippon Insatsu",30,sub30,1,関西,4,光SC(大阪第2)
611006,"Nippon Insatsu",30,sub30,1,関西,4,光SC(大阪第2)
611016,"Nippon Insatsu",30,sub30,1,関西,4,光SC(大阪第2)
611017,"Nippon Insatsu",30,sub30,1,関西,4,光SC(大阪第2)
611013,"Nippon Insatsu",30,sub30,1,関西,4,光SC(大阪第2)
611011,"Nippon Insatsu",30,sub30,1,関西,4,光SC(大阪第2)
611019,"Nippon Insatsu",30,sub30,1,関西,4,光SC(大阪第2)
611014,"Nippon Insatsu",30,sub30,1,関西,4,光SC(大阪第2)
611012,"Nippon Insatsu",30,sub30,1,関西,4,光SC(大阪第2)
611002,"Nippon Insatsu",30,sub30,1,関西,4,光SC(大阪第2)
